Player,Team,"Year 
Signed",Years,Value,APY,Guaranteed,"APY as % Of 
Cap At Signing","Inflated 
Value","Inflated 
APY","Inflated 
Guaranteed"
Anthony Brown,Ravens,2022,1,"$290,001","$290,001",$0,0.1%,"$355,746","$355,746",$0
Anthony Brown,Ravens,2022,1,"$262,334","$262,334",$0,0.1%,"$321,806","$321,806",$0
Anthony Brown,Ravens,2022,1,"$234,667","$234,667",$0,0.1%,"$287,867","$287,867",$0
Anthony Brown,Ravens,2022,1,"$207,000","$207,000",$0,0.1%,"$253,928","$253,928",$0
Anthony Brown,Ravens,2023,1,"$216,000","$216,000",$0,0.1%,"$245,402","$245,402",$0
Anthony Gordon,Seahawks,2020,3,"$2,297,500","$765,833","$12,500",0.4%,"$2,960,552","$986,850","$16,107"
Anthony Gordon,Chiefs,2021,1,"$660,000","$660,000",$0,0.4%,"$923,638","$923,638",$0
Anthony Gordon,Chiefs,2022,1,"$705,000","$705,000",$0,0.3%,"$864,827","$864,827",$0
Anthony Gordon,Broncos,2021,1,"$165,600","$165,600",$0,0.1%,"$231,749","$231,749",$0
Anthony Richardson,Colts,2023,4,"$33,994,030","$8,498,508","$33,994,030",3.8%,"$38,621,331","$9,655,333","$38,621,331"
Austin Allen,Buccaneers,2018,3,"$1,725,000","$575,000","$50,000",0.3%,"$2,486,258","$828,753","$72,065"
Austin Appleby,Cowboys,2017,3,"$1,665,000","$555,000",$0,0.3%,"$2,546,353","$848,784",$0
Austin Aune,Falcons,2023,3,"$2,695,000","$898,333",$0,0.4%,"$3,061,846","$1,020,615",$0
Austin Davis,Browns,2015,3,"$4,173,530","$2,086,765","$600,000",1.5%,"$7,439,416","$3,719,708","$1,069,514"
Austin Davis,Rams,2015,1,"$1,542,000","$1,542,000",$0,1.1%,"$2,748,652","$2,748,652",$0
Austin Davis,Broncos,2016,1,"$1,250,000","$1,250,000","$100,000",0.8%,"$2,056,096","$2,056,096","$164,488"
Austin Davis,Seahawks,2017,1,"$855,000","$855,000","$50,000",0.5%,"$1,307,587","$1,307,587","$76,467"
Austin Davis,Seahawks,2018,1,"$880,000","$880,000","$90,000",0.5%,"$1,268,352","$1,268,352","$129,718"
Austin Davis,Browns,2015,1,"$660,000","$660,000",$0,0.5%,"$1,176,466","$1,176,466",$0
Austin Davis,Titans,2018,1,"$790,000","$790,000",$0,0.4%,"$1,138,634","$1,138,634",$0
Austin Davis,Titans,2018,1,"$790,000","$790,000",$0,0.4%,"$1,138,634","$1,138,634",$0
Austin Davis,Rams,2014,1,"$570,000","$570,000",$0,0.4%,"$1,094,571","$1,094,571",$0
Austin Davis,Rams,2012,3,"$1,445,000","$481,667","$17,500",0.4%,"$3,060,141","$1,020,048","$37,061"
Austin Davis,Rams,2013,1,"$480,000","$480,000",$0,0.4%,"$996,683","$996,683",$0
Austin Davis,Dolphins,2013,1,"$102,000","$102,000",$0,0.1%,"$211,795","$211,795",$0
Austin Davis,Packers,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Austin Reed,Bears,2024,3,"$2,835,000","$945,000","$5,000",0.4%,"$2,835,000","$945,000","$5,000"
Austin Reed,Bears,2024,1,"$225,000","$225,000",$0,0.1%,"$225,000","$225,000",$0
B.J. Coleman,Packers,2012,4,"$2,145,896","$536,474","$45,896",0.4%,"$4,544,460","$1,136,115","$97,196"
B.J. Coleman,Packers,2013,1,"$405,000","$405,000",$0,0.3%,"$840,951","$840,951",$0
B.J. Coleman,Packers,2012,1,"$96,900","$96,900",$0,0.1%,"$205,209","$205,209",$0
B.J. Daniels,SEA/SF,2013,4,"$2,206,512","$551,628","$46,512",0.4%,"$4,581,652","$1,145,413","$96,579"
B.J. Daniels,Giants,2016,2,"$1,290,000","$645,000",$0,0.4%,"$2,121,891","$1,060,945",$0
B.J. Daniels,Seahawks,2014,2,"$1,080,000","$540,000",$0,0.4%,"$2,073,925","$1,036,962",$0
B.J. Daniels,Texans,2015,2,"$1,110,000","$555,000",$0,0.4%,"$1,978,601","$989,301",$0
B.J. Daniels,Seahawks,2015,1,"$1,110,000","$555,000",$0,0.4%,"$1,978,601","$989,301",$0
B.J. Daniels,Bears,2016,1,"$600,000","$600,000",$0,0.4%,"$986,926","$986,926",$0
B.J. Daniels,Falcons,2017,1,"$615,000","$615,000",$0,0.4%,"$940,545","$940,545",$0
B.J. Daniels,Seahawks,2015,2,"$510,000","$510,000",$0,0.4%,"$909,087","$909,087",$0
B.J. Daniels,Seahawks,2014,1,"$170,000","$170,000",$0,0.1%,"$326,451","$326,451",$0
B.J. Daniels,Seahawks,2013,1,"$102,000","$102,000",$0,0.1%,"$211,795","$211,795",$0
B.J. Daniels,Seahawks,2015,1,"$112,200","$112,200",$0,0.1%,"$199,999","$199,999",$0
B.J. Daniels,Seahawks,2015,1,"$112,200","$112,200",$0,0.1%,"$199,999","$199,999",$0
B.J. Daniels,Falcons,2016,1,"$117,300","$117,300",$0,0.1%,"$192,944","$192,944",$0
Bailey Zappe,Patriots,2022,4,"$4,307,072","$1,076,768","$647,072",0.5%,"$5,283,507","$1,320,877","$793,767"
Bailey Zappe,Patriots,2023,3,"$2,955,000","$985,000",$0,0.4%,"$3,357,238","$1,119,079",$0
Bailey Zappe,Browns,2024,1,"$985,000","$985,000",$0,0.4%,"$985,000","$985,000",$0
Bailey Zappe,Patriots,2023,1,"$216,000","$216,000",$0,0.1%,"$245,402","$245,402",$0
Bailey Zappe,Chiefs,2024,1,"$225,000","$225,000",$0,0.1%,"$225,000","$225,000",$0
Baker Mayfield,Buccaneers,2024,3,"$100,000,000","$33,333,333","$50,000,000",13.1%,"$100,000,000","$33,333,333","$50,000,000"
Baker Mayfield,CAR/LAR,2022,1,"$15,358,000","$15,358,000","$15,358,000",7.4%,"$18,839,737","$18,839,737","$18,839,737"
Baker Mayfield,Browns,2018,4,"$32,682,980","$8,170,745","$32,682,980",4.6%,"$47,106,282","$11,776,570","$47,106,282"
Baker Mayfield,Buccaneers,2023,1,"$4,000,000","$4,000,000","$4,000,000",1.8%,"$4,544,484","$4,544,484","$4,544,484"
Bart Houston,Steelers,2017,3,"$1,665,000","$555,000",$0,0.3%,"$2,546,353","$848,784",$0
Ben Bryant,Jets,2024,3,"$2,830,000","$943,333",$0,0.4%,"$2,830,000","$943,333",$0
Ben DiNucci,Cowboys,2020,4,"$3,390,148","$847,537","$95,148",0.4%,"$4,368,536","$1,092,134","$122,607"
Ben DiNucci,Cowboys,2022,2,"$1,765,000","$882,500",$0,0.4%,"$2,165,134","$1,082,567",$0
Ben DiNucci,Broncos,2023,1,"$870,000","$870,000",$0,0.4%,"$988,425","$988,425",$0
Ben DiNucci,Bills,2024,1,"$985,000","$985,000",$0,0.4%,"$985,000","$985,000",$0
Ben DiNucci,Broncos,2024,1,"$985,000","$985,000",$0,0.4%,"$985,000","$985,000",$0
Ben DiNucci,Broncos,2023,1,"$377,600","$377,600",$0,0.2%,"$428,999","$428,999",$0
Ben DiNucci,Broncos,2023,1,"$288,666","$288,666",$0,0.1%,"$327,960","$327,960",$0
